,"Group name","RecBFCatch (1/unit biomass)","CommBFCatch (1/unit biomass)","Spear (1/unit biomass)","Net (1/unit biomass)","Line (1/unit biomass)","Other (1/unit biomass)",
1,StingRay,,,,,,,
2,MonkSeals,,,,,,,
3,SpinnerD,,,,,,,
4,BottlenoseD,,,,,,,
5,GreenTurtles,,,,,,,
6,HawksbillT,,,,,,,
7,R_Coralliv,,,,0,0,,
8,R_Browser,,,4.23,4.23,4.23,4.23,
9,R_Grazer,,,1.8,1.8,1.8,1.8,
10,Parrotfish,,,3.43,3.43,3.43,3.43,
11,R_BenthPisc,,,1.24,1.24,1.24,1.24,
12,R_BenthCarn,,,3.92,3.92,3.92,3.92,
13,R_LargePlankt,,,3,3,3,3,
14,R_SmallPlankt,,,3.25,3.25,3.25,3.25,
15,R_Other,,,1.42,1.42,1.42,1.42,
16,D_BenthPisc,,,1,1,1,1,
17,M_BenthCarn,,,1,1,1,1,
18,M_Plankt,,,1,1,1,1,
19,S_BenthCarn,,,,1,1,1,
20,S_Plankt,,,,1,1,1,
21,PreyFish,,,2.7,2.7,2.7,2.7,
22,MesoPelScatter,,,,,,,
23,BFW_group,14.5,14.5,,,,,
24,BFB_group,10,10,,,,,
25,Uku,,,6,6,6,6,
26,RovPisc,,,4.3,4.3,4.3,4.3,
27,Sharks,,,0,0,0,0,
28,MantaRay,,,,,,,
29,Lobster,,,12,12,12,12,
30,BenthCarn,,,1,1,,1,
31,BenthDetr,,,1,,,1,
32,BenthGrazer,,,1,,,1,
33,Octopus,,,4,4,4,4,
34,BenthMeio,,,,,,,
35,Infauna,,,,,,,
36,Deep_FilterFeed,,,1,,,,
37,Bivalves,,,1,,,1,
38,ShallowFilterFeed,,,1,,,1,
39,Porites_mass,,,,,,,
40,Porites_branch,,,,,,,
41,Montipora,,,,,,,
42,Pocillopora,,,,,,,
43,Leptoseris,,,,,,,
44,CCA,,,,,,,
45,Turf,,,,,,,
46,MA_Fleshy,,,1,,,1,
47,MA_Calc,,,,,,,
48,LargePhyto,,,,,,,
49,SmallPhyto,,,,,,,
50,Squid,,,1,,1,1,
51,LargeZoo,,,,,,,
52,MedZoo,,,,,,,
53,SmallZoo,,,,,,,
54,GelatZoo,,,,,,,
55,Detritus,,,,,,,
