group,fullName,habitatArea,Fishery_Area,,
IVR,StingRay,1,0,,
MS,MonkSeals,1,0,,
SPD,SpinnerD,1,0,,
BND,BottlenoseD,1,0,,
GT,GreenTurtles,1,0,,
HT,HawksbillT,1,0,,
RCO,R_Coralliv,0.13,0.13,,
RBR,R_Browser,0.13,0.13,,
RGR,R_Grazer,0.13,0.13,,
RPA,Parrotfish,0.13,0.13,,
RBP,R_BenthPisc,0.13,0.13,,0.57
RBC,R_BenthCarn,0.13,0.13,,0.43
RPL,R_LargePlankt,0.13,0.13,,0.87
RSP,R_SmallPlankt,0.13,0.13,,
ROF,R_Other,0.13,0.13,,
MBP,D_BenthPisc,0.87,0.44,,
MBC,M_BenthCarn,0.43,0.43,,
MPL,M_Plankt,0.43,0.43,,
SBC,S_BenthCarn,0.44,0.44,,
SPL,S_Plankt,0.44,0.44,,
SHP,PreyFish,0.57,0.13,,
MSL,MesoPelScatter,0.87,0,,
BFW,BFW_group,0.44,0.44,,
BFB,BFB_group,0.44,0.44,,
UKU,Uku,0.57,0.44,,
PIS,RovPisc,1,1,,
SHR,Sharks,1,0,,
RAY,MantaRay,0.44,0,,
LOB,Lobster,0.57,0.13,,
BC,BenthCarn,1,0.13,,
BD,BenthDetr,1,0.13,,
BG,BenthGrazer,1,0.13,,
OCT,Octopus,1,0.13,,
BM,BenthMeio,1,0.13,,
INF,Infauna,1,0,,
DFF,Deep_FilterFeed,0.44,0.44,,
BIV,Bivalves,1,0.13,,
BFF,ShallowFilterFeed,0.13,0.13,,
PRM,Porites_mass,0.13,0,,
PRB,Porites_branch,0.13,0,,
MON,Montipora,0.13,0,,
POC,Pocillopora,0.13,0,,
LEP,Leptoseris,0.43,0,,
CCA,CCA,0.57,0,,
TRF,Turf,0.57,0,,
MA,MA_Fleshy,0.57,0.13,,
MAC,MA_Calc,0.57,0,,
PL,LargePhyto,1,0,,
PS,SmallPhyto,1,0,,
CEP,Squid,1,0.13,,
ZL,LargeZoo,1,0,,
ZM,MedZoo,1,0,,
ZS,SmallZoo,1,0,,
ZG,GelatZoo,1,0,,
DL,Detritus,1,0,,
